time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1
1785766980,28643.75,28658.75,28641,28656.25,28543.72842062752,28624.644261531852,28462.81257972319
1785767040,28656,28666.5,28647.25,28661.5,28544.378259605317,28625.52246220929,28463.234057001344
1785767100,28662,28680,28661.75,28664.5,28545.184991914335,28626.679508128855,28463.690475699816
1785767160,28664.25,28668.25,28653,28667,28545.716457188155,28627.408148757968,28464.024765618342
1785767220,28667,28671.75,28635,28654.75,28546.43074463176,28628.321887491475,28464.53960177205
1785767280,28654.5,28673,28647.25,28656.5,28546.97315726053,28629.03740905875,28464.90890546231
1785767340,28656.25,28684.75,28654.25,28678.25,28547.560686393626,28629.879310946817,28465.242061840436
1785767400,28677.75,28683.5,28661,28669.75,28548.16068672927,28630.72873511025,28465.592638348287
1785767460,28669.25,28684.25,28666.25,28674.5,28548.627281116045,28631.40027457617,28465.85428765592
1785767520,28675,28685.75,28673,28677.75,28549.014302596966,28631.967580708526,28466.061024485407
1785767580,28677.75,28692.25,28675.75,28684,28549.493626870168,28632.687879795343,28466.299373944992
1785767640,28683.75,28689.25,28671,28685,28549.878441618745,28633.256445847466,28466.500437390023
1785767700,28685,28697.75,28683.25,28697.5,28550.3947563995,28634.06270941269,28466.726803386307
1785767760,28697.5,28712,28688.5,28706.25,28551.343621149306,28635.603781910973,28467.08346038764
1785767820,28706.5,28721,28704,28712,28552.05303768599,28636.800865676156,28467.305209695824
1785767880,28711.5,28717.5,28704.5,28709.25,28552.507004014133,28637.555763489447,28467.45824453882
1785767940,28709.25,28731.25,28707.75,28716.5,28553.425715863337,28639.12818670459,28467.723245022084
1785768000,28716.25,28730.25,28710.25,28726,28553.996222839356,28640.112557154538,28467.879888524174
1785768060,28725.75,28735.75,28715.5,28720.75,28554.73711780249,28641.392234312054,28468.08200129293
1785768120,28721,28723.25,28704.25,28718.25,28555.3766889593,28642.44814912694,28468.305228791658
1785768180,28718.5,28719.25,28702.5,28715,28555.83813851752,28643.19553220775,28468.48074482729
1785768240,28715.25,28721.5,28705.25,28707.75,28556.233861105327,28643.831556693396,28468.63616551726
1785768300,28707.5,28714.25,28699.5,28701.75,28556.732286251085,28644.6052610766,28468.85931142557
1785768360,28702,28733,28701.5,28727.5,28557.47150230299,28645.83143402443,28469.11157058155
1785768420,28728,28733.5,28714.75,28727,28558.11221617555,28646.907561435877,28469.31687091522
1785768480,28727,28744.5,28725.75,28729.5,28558.97356758016,28648.393637982183,28469.553497178138
1785768540,28729.5,28744.25,28726.5,28738.75,28559.52934625048,28649.35847703633,28469.700215464632
1785768600,28738.25,28754.25,28731.5,28754.25,28560.35744601681,28650.844174820406,28469.870717213213
1785768660,28753.25,28778.75,28748.5,28776,28561.734183405875,28653.479070135298,28469.989296676453
1785768720,28776,28784,28771.75,28780.5,28562.668695654276,28655.3121470953,28470.02524421325
1785768780,28780.75,28798.25,28780.75,28795.5,28563.80059063067,28657.598707683555,28470.002473577788
1785768840,28795.75,28798.5,28777.5,28779.5,28564.696865565213,28659.354492351733,28470.039238778692
1785768900,28779.5,28802,28779.5,28791.5,28565.63794377524,28661.214558735635,28470.061328814845
1785768960,28791.75,28801,28784.75,28787.25,28566.241638019328,28662.398303640668,28470.084972397988
1785769020,28787.5,28796,28781.75,28790.5,28566.72550952525,28663.337162719134,28470.11385633137
1785769080,28790.25,28796.5,28782.75,28795.75,28567.175816457817,28664.213005599984,28470.13862731565
1785769140,28795.5,28805,28792.5,28802,28567.771328908755,28665.394635813223,28470.148022004287
1785769200,28801.25,28802.25,28787.75,28792,28568.37213039748,28666.558472184457,28470.185788610506
1785769260,28792,28798.75,28784.5,28795.25,28568.88262323867,28667.538375204942,28470.2268712724
1785769320,28795,28798.75,28787.5,28791.25,28569.222050978216,28668.18654216795,28470.257559788482
1785769380,28791,28794.5,28785.5,28791,28569.634626851537,28668.966146101808,28470.303107601267
1785769440,28790.5,28793.25,28781.5,28791.25,28570.113736338197,28669.86281664534,28470.36465603105
1785769500,28790.75,28796,28777,28778.25,28570.685604860813,28670.910799708323,28470.460410013304
1785769560,28777.75,28778.5,28760.25,28777.5,28571.67424209026,28672.639144079498,28470.70934010102
1785769620,28777.25,28792.75,28771,28785.5,28572.395576567546,28673.939191972342,28470.85196116275
1785769680,28785.5,28789.75,28767.25,28777.5,28572.98854735759,28674.983924387285,28470.993170327893
1785769740,28778,28779.5,28761,28766,28573.461103113033,28675.78548716635,28471.136719059716
1785769800,28766.25,28767.75,28756,28765,28574.049141173717,28676.75670119949,28471.341581147943
1785769860,28764.25,28770.5,28752.75,28764.5,28574.61471783659,28677.68512324075,28471.54431243243
1785769920,28765,28769,28747.25,28767.25,28575.197197204492,28678.631531932904,28471.76286247608
1785769980,28767,28781.5,28763.25,28770,28575.940325402607,28679.880527126832,28472.000123678383
1785770040,28769.5,28776,28753.25,28757.5,28576.438260169176,28680.684189806016,28472.192330532336
1785770100,28757,28775.75,28755.75,28774,28576.925906983237,28681.48709657806,28472.364717388413
1785770160,28774.25,28788,28773.25,28782.25,28577.554647472858,28682.566098779644,28472.543196166072
1785770220,28782.5,28782.75,28764.5,28776.5,28578.070380428282,28683.426387844804,28472.71437301176
1785770280,28775.5,28783.75,28772.25,28777.75,28578.4668237155,28684.093238716618,28472.84040871438
1785770340,28777.5,28786,28774.75,28780.75,28578.788502583997,28684.637743025356,28472.939262142638
1785770400,28780.75,28798.75,28779.75,28797.75,28579.49851313022,28685.883208286705,28473.113817973735
1785770460,28797.25,28798,28781.5,28787.25,28580.087069861936,28686.89907164602,28473.27506807785
1785770520,28787.25,28793,28768.5,28792,28580.65930866159,28687.86710306071,28473.45151426247
1785770580,28793,28796.25,28784.25,28792.5,28581.023275413747,28688.494423751716,28473.552127075778
1785770640,28791.75,28795.25,28778.25,28780,28581.39028776792,28689.111031355416,28473.669544180426
1785770700,28780,28792,28757.5,28769.5,28582.01974582029,28690.120870192997,28473.91862144758
1785770760,28769.25,28778.5,28757.75,28760,28582.51104000719,28690.882663731372,28474.139416283007
1785770820,28759.5,28767,28753,28760.5,28582.935688946247,28691.524809952865,28474.34656793963
1785770880,28760.5,28763.5,28723.25,28737.75,28583.8161270266,28692.742499037744,28474.889755015454
1785770940,28737.75,28743.5,28729.75,28734.75,28584.257850794555,28693.333713464363,28475.181988124747
1785771000,28734.25,28762,28731.5,28750.5,28584.955864115538,28694.320542968926,28475.59118526215
1785771060,28750.5,28774.5,28747.5,28761,28585.540818136353,28695.192658579443,28475.888977693263
1785771120,28760.5,28771.5,28753,28757.5,28585.902300365884,28695.72890107902,28476.07569965275
1785771180,28757,28774.5,28752.75,28774,28586.325273590228,28696.371532833105,28476.27901434735
1785771240,28774,28780.5,28759,28764.25,28586.803889197276,28697.09869459462,28476.50908379993
1785771300,28765,28776,28755.25,28776,28587.264664004553,28697.799592535077,28476.72973547403
1785771360,28776,28779.25,28760.5,28763.5,28587.645425318624,28698.373793904386,28476.917056732862
1785771420,28764,28767.75,28749.75,28755.25,28587.93430944569,28698.789791729603,28477.078827161775
1785771480,28755,28763.25,28744.5,28756.25,28588.274600669167,28699.27225240658,28477.276948931754
1785771540,28756.25,28774.5,28756,28766.25,28588.600214128895,28699.7554262985,28477.44500195929
1785771600,28766.75,28788,28764.5,28779.75,28589.096608885073,28700.525868792072,28477.667348978073
1785771660,28780,28789.75,28770,28775.25,28589.505183493722,28701.16010881756,28477.850258169885
1785771720,28775,28786.25,28771.5,28783,28589.773084317127,28701.57801103099,28477.968157603264
1785771780,28782.5,28788,28778.75,28781.75,28590.028674107252,28701.979875578745,28478.07747263576
1785771840,28781.75,28786.5,28779,28782,28590.21876125619,28702.277870127833,28478.159652384547
1785771900,28782,28793.5,28782,28786.75,28590.594625012982,28702.876804171396,28478.312445854568
1785771960,28787,28793.5,28783.25,28786.75,28590.940624750725,28703.427497976118,28478.453751525332
1785772020,28787,28789,28780,28785,28591.16997921632,28703.78745386223,28478.55250457041
1785772080,28785,28788.25,28776.25,28779.5,28591.443786297394,28704.210924657513,28478.676647937275
1785772140,28779.75,28796,28778,28785.5,28591.80863772211,28704.785072950803,28478.83220249342
1785772200,28785.75,28790,28783,28787.5,28592.007318489374,28705.097460178287,28478.91717680046
