timeframe_minutes,session_start_date,c1_start_new_york,c2_start_new_york,confirmation_new_york,direction,c1_high,c1_low,midpoint,c2_high,c2_low,c2_close,target,target_hit_new_york,target_hit_same_session,session_end_new_york,historical_right_edge_new_york
30,2026-08-03,2026-08-03 18:00:00-04:00,2026-08-03 18:30:00-04:00,2026-08-03 19:00:00-04:00,bearish,28950.5,28918.0,28934.25,28962.25,28932.25,28945.75,28918.0,2026-08-03 20:15:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-03 18:30:00-04:00,2026-08-03 19:00:00-04:00,2026-08-03 19:30:00-04:00,bullish,28962.25,28932.25,28947.25,28958.25,28929.5,28948.75,28962.25,2026-08-03 19:47:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-03 20:30:00-04:00,2026-08-03 21:00:00-04:00,2026-08-03 21:30:00-04:00,bullish,28909.0,28864.0,28886.5,28902.5,28831.5,28902.0,28909.0,2026-08-03 21:30:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-03 22:30:00-04:00,2026-08-03 23:00:00-04:00,2026-08-03 23:30:00-04:00,bullish,28994.25,28948.0,28971.125,28993.0,28930.0,28977.0,28994.25,2026-08-03 23:32:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-03 23:30:00-04:00,2026-08-04 00:00:00-04:00,2026-08-04 00:30:00-04:00,bearish,29008.0,28957.5,28982.75,29016.75,28968.5,29007.0,28957.5,,False,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 00:00:00-04:00,2026-08-04 00:30:00-04:00,2026-08-04 01:00:00-04:00,bearish,29016.75,28968.5,28992.625,29023.5,28994.25,29015.75,28968.5,,False,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 02:00:00-04:00,2026-08-04 02:30:00-04:00,2026-08-04 03:00:00-04:00,bullish,29099.0,29067.0,29083.0,29089.5,29042.25,29072.75,29099.0,2026-08-04 03:02:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 03:00:00-04:00,2026-08-04 03:30:00-04:00,2026-08-04 04:00:00-04:00,bearish,29109.0,29037.25,29073.125,29118.25,29065.75,29070.75,29037.25,2026-08-04 05:06:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 03:30:00-04:00,2026-08-04 04:00:00-04:00,2026-08-04 04:30:00-04:00,bearish,29118.25,29065.75,29092.0,29132.25,29067.0,29111.5,29065.75,2026-08-04 04:34:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 04:00:00-04:00,2026-08-04 04:30:00-04:00,2026-08-04 05:00:00-04:00,bullish,29132.25,29067.0,29099.625,29111.0,29037.75,29069.25,29132.25,2026-08-04 06:45:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 04:30:00-04:00,2026-08-04 05:00:00-04:00,2026-08-04 05:30:00-04:00,bullish,29111.0,29037.75,29074.375,29069.25,29007.5,29045.25,29111.0,2026-08-04 06:14:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 08:00:00-04:00,2026-08-04 08:30:00-04:00,2026-08-04 09:00:00-04:00,bullish,29238.5,29199.75,29219.125,29230.25,29186.5,29202.75,29238.5,2026-08-04 09:20:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 10:00:00-04:00,2026-08-04 10:30:00-04:00,2026-08-04 11:00:00-04:00,bearish,29564.25,29432.5,29498.375,29579.25,29515.0,29549.5,29432.5,,False,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-03,2026-08-04 14:00:00-04:00,2026-08-04 14:30:00-04:00,2026-08-04 15:00:00-04:00,bearish,29884.25,29809.5,29846.875,29895.75,29840.0,29881.0,29809.5,2026-08-04 16:15:00-04:00,True,2026-08-04 17:00:00-04:00,2026-08-04 17:00:00-04:00
30,2026-08-04,2026-08-04 18:30:00-04:00,2026-08-04 19:00:00-04:00,2026-08-04 19:30:00-04:00,bearish,29841.75,29793.0,29817.375,29849.25,29809.25,29825.0,29793.0,2026-08-05 10:53:00-04:00,True,2026-08-05 17:00:00-04:00,2026-08-05 17:00:00-04:00
